10111155,4.37
10131124,3.302
10031188,3.47
10411099,3.37
10431155,4.704
10671176,2.502
12110199,2.569
12130155,2.935
12030156,3.235
12040065,3.637
13131156,5.005
13171144,4.27
13021076,2.769
13261167,5.005
13041065,2.502
13081166,5.005
13091076,4.704
14031044,3.37
14071176,2.902
14091134,3.135
15141167,2.235
15161176,2.569
15221166,2.502
15041144,3.937
15070167,2.502
15090144,3.235
16040167,3.67
16060165,5.006
17060066,3.404
18121087,2.535
18021087,4.003
18221176,2.135
18231099,2.869
18241177,5.006
18321199,2.602
18461166,3.202
18471086,3.604
18081087,3.537
19041076,3.235
19051087,3.002
